implementation,family,width,exact,value,rel_error,claimed_abs,claimed_rel,warned,error,verdict
scipy.quad (QUADPACK),centred,0.1,0.1772453850905516,0.1772453850905516,0.0,3.695829908756738e-14,2.0851487370848064e-13,False,,pass
scipy.quad (QUADPACK),centred,0.01,0.01772453850905516,0.017724538509055164,1.957425830963742e-16,1.9768082432533406e-12,1.115294619514874e-10,False,,pass
scipy.quad (QUADPACK),centred,0.001,0.001772453850905516,0.001772453850905516,0.0,7.768248541715865e-12,4.382764909646139e-09,False,,pass
scipy.quad (QUADPACK),centred,0.0001,0.0001772453850905516,1.9751905622293678e-207,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),centred,1e-05,1.772453850905516e-05,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),centred,1e-06,1.7724538509055158e-06,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),centred,1e-08,1.7724538509055158e-08,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),centred,1e-10,1.772453850905516e-10,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),centred,1e-12,1.7724538509055158e-12,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),offcentre,0.1,0.1772453850905516,0.17724538509055154,3.131881329541987e-16,4.466693767778941e-09,2.520062096678559e-08,False,,pass
scipy.quad (QUADPACK),offcentre,0.01,0.01772453850905516,0.017724538509055157,1.957425830963742e-16,4.602170340665599e-09,2.5964965679159596e-07,False,,pass
scipy.quad (QUADPACK),offcentre,0.001,0.001772453850905516,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),offcentre,0.0001,0.0001772453850905516,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),offcentre,1e-05,1.772453850905516e-05,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),offcentre,1e-06,1.7724538509055158e-06,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),offcentre,1e-08,1.7724538509055158e-08,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),offcentre,1e-10,1.772453850905516e-10,0.0,1.0,0.0,0.0,False,,SILENT
scipy.quad (QUADPACK),offcentre,1e-12,1.7724538509055158e-12,0.0,1.0,0.0,0.0,False,,SILENT
mpmath.quad (tanh-sinh),centred,0.1,0.1772453850905516,0.17724538509055163,1.5659406647709935e-16,1e-31,5.6418958354775634e-31,False,,pass
mpmath.quad (tanh-sinh),centred,0.01,0.01772453850905516,0.024662663288523786,0.3914417729930772,0.01,0.5641895835477563,False,,loud (honest error estimate)
mpmath.quad (tanh-sinh),centred,0.001,0.001772453850905516,0.02454369260617026,12.847295710199344,0.01,5.6418958354775635,False,,loud (honest error estimate)
mpmath.quad (tanh-sinh),centred,0.0001,0.0001772453850905516,0.02454369260617026,137.47295710199344,0.01,56.41895835477563,False,,loud (honest error estimate)
mpmath.quad (tanh-sinh),centred,1e-05,1.772453850905516e-05,0.02454369260617026,1383.7295710199344,0.01,564.1895835477563,False,,loud (honest error estimate)
mpmath.quad (tanh-sinh),centred,1e-06,1.7724538509055158e-06,0.02454369260617026,13846.295710199345,0.01,5641.895835477564,False,,loud (honest error estimate)
mpmath.quad (tanh-sinh),centred,1e-08,1.7724538509055158e-08,0.02454369260617026,1384728.5710199345,0.01,564189.5835477564,False,,loud (honest error estimate)
mpmath.quad (tanh-sinh),centred,1e-10,1.772453850905516e-10,0.02454369260617026,138472956.10199344,0.01,56418958.35477563,False,,loud (honest error estimate)
